loss_generator,loss_discriminator
0.052759,1.400589
0.040858,1.386625
0.049187,1.376232
0.037397,1.365507
0.061066,1.360180
0.058196,1.356930
0.042461,1.355742
0.046732,1.364106
0.040456,1.341089
0.053049,1.372256
0.040218,1.343121
0.063771,1.368189
0.067548,1.340518
0.044721,1.330249
0.055106,1.304003
0.054899,1.271629
0.050800,1.202358
0.072661,1.282020
0.055826,1.233688
0.051440,1.173955
0.040659,1.222071
0.053196,1.202998
0.041499,1.156880
0.074303,1.048610
0.061169,1.105423
0.069428,0.999410
0.036020,1.133090
0.041113,1.059757
0.052459,1.003214
0.065668,1.070094
0.077661,0.932022
0.048993,0.979118
0.037438,0.908729
0.036711,0.845750
0.053572,1.177218
0.053975,0.799575
0.046332,0.703442
0.054424,1.077311
0.047017,0.469768
0.044857,1.063127
0.037813,0.648938
0.047637,0.493996
0.033088,0.727399
0.040023,1.167806
0.053171,0.749110
0.038044,1.274629
0.044442,0.441542
0.070600,0.631365
0.078829,0.428757
0.069375,1.183881
0.064490,0.406969
0.039345,1.551999
0.055814,0.629813
0.062683,0.581400
0.047349,0.657096
0.052956,0.586252
0.034594,0.814897
0.046786,0.650189
0.040565,1.092982
0.063357,0.711599
0.070935,0.533193
0.083294,0.712009
0.051198,1.030097
0.052405,0.788191
0.047040,0.839220
0.066274,0.981068
0.058837,0.659443
0.049333,1.272260
0.052348,0.887307
0.037505,0.971500
0.055959,0.973869
0.066938,0.808933
0.052154,1.039900
0.053055,0.822564
0.050942,1.016145
0.045768,1.465038
0.072711,1.026170
0.044880,1.321914
0.040452,1.549879
0.043798,0.960050
0.045024,1.880445
0.044255,1.288285
0.045150,1.642417
0.036519,1.038071
0.048046,1.140411
0.049875,1.461748
0.037216,1.269091
0.049184,1.013099
0.060712,1.146580
0.054928,1.097332
0.051462,0.958941
0.042783,1.038810
0.052456,0.679522
0.034435,1.291641
0.048905,0.917106
0.037992,0.944042
0.035076,1.078923
0.059114,0.708795
0.037724,1.058511
0.067826,0.715092
0.029678,1.453790
0.038884,1.240359
0.048659,0.695606
0.053334,1.321625
0.059520,0.624913
0.048495,1.223323
0.036140,1.115904
0.034617,0.986125
0.047422,0.862849
0.055243,1.062561
0.041118,0.911735
0.045641,1.166199
0.040268,1.668271
0.050170,1.061539
0.060660,0.723441
0.057197,1.529271
0.048146,0.771114
0.045080,0.884593
0.030510,1.288102
0.060527,0.506192
0.053315,0.492841
0.049996,0.719923
0.053037,0.475615
0.050120,0.875771
0.044402,0.734292
0.045164,1.623692
0.042458,0.936974
0.056085,1.241826
0.058914,2.930015
0.038685,1.668868
0.038523,1.482875
0.053662,1.540955
0.049614,0.920122
0.046857,1.016508
0.056099,1.019056
0.042593,1.401472
0.068743,0.743956
0.053962,1.479906
0.042824,1.449131
0.042185,1.533900
0.050232,0.885770
0.041905,1.129551
0.070855,1.273687
0.064354,0.687340
0.034270,0.887398
0.055828,0.570394
0.070663,0.621485
0.040080,1.053017
0.047639,0.811698
0.033138,1.280953
0.042619,0.842594
0.040877,0.858213
0.036537,0.664204
0.056445,0.960919
0.050136,0.771733
0.045057,0.694936
0.050211,0.593755
0.052549,0.642429
0.055222,0.513860
0.043127,0.534957
0.054065,0.324805
0.056606,1.171249
0.062435,0.425459
0.050123,0.600325
0.043932,0.861990
0.045676,0.309041
0.040364,0.588918
0.037014,1.092122
0.043986,0.722643
0.036662,1.006018
0.032325,1.247262
0.040797,0.827810
0.051852,1.821981
0.027218,1.083397
0.027736,1.287482
0.041732,1.206345
0.051369,1.386710
0.046731,0.774207
0.073139,0.946751
0.033418,1.732427
0.038454,0.655415
0.047400,0.822105
0.048588,1.654583
0.041441,0.435136
0.046457,0.573734
0.034164,1.018487
0.045277,1.090953
0.034163,0.906416
0.049674,1.058148
0.036585,0.911752
0.043011,0.919518
0.031631,0.774677
0.029698,0.817891
0.038185,1.022297
0.046368,0.900735
0.047712,0.977408
0.037258,0.890370
0.027136,1.346207
0.039678,1.525612
0.034334,1.788206
0.046684,1.119550
0.044209,0.926235
0.041474,1.219294
0.054969,1.159224
0.055089,1.034989
0.042672,1.003214
0.036158,0.917784
0.052257,0.826960
0.051477,1.168079
0.030456,1.204986
0.032236,1.452633
0.033606,1.200231
0.061699,0.519173
0.060655,1.389468
0.039030,1.095410
0.035433,0.822747
0.030991,1.285489
0.058010,0.530784
0.052504,0.710485
0.031711,0.868237
0.043601,0.642052
0.045521,0.599913
0.043707,1.187067
0.055009,0.491259
0.032619,1.446242
0.028260,1.605610
0.049168,1.378499
0.027316,1.590638
0.061183,0.397323
0.041334,1.587562
0.045760,0.869104
0.056652,1.320544
0.043909,1.549110
0.035341,0.839747
0.038889,1.520956
0.037081,2.580216
0.054204,1.570244
0.033263,1.047998
0.027646,0.786147
0.042521,0.691956
0.049661,1.074458
0.021709,2.016418
0.029914,0.959131
0.032941,0.742110
0.033633,0.822885
0.048237,0.800305
0.031125,1.060934
0.042591,0.789971
0.032490,0.842372
0.037073,0.675141
