loss_generator,loss_discriminator
0.048254,1.377827
0.048179,1.358025
0.054273,1.337216
0.057125,1.232730
0.054165,1.147196
0.052938,1.053113
0.050875,0.968568
0.049321,0.822645
0.042346,0.757450
0.060258,0.792035
0.053936,0.765455
0.047652,0.771184
0.060974,0.780542
0.052859,0.954315
0.055810,0.932282
0.049522,1.264610
0.043799,1.397926
0.050383,1.197570
0.046008,0.977204
0.047547,0.901073
0.046015,1.067259
0.044383,1.050152
0.047571,1.106237
0.048292,0.995854
0.050174,0.659688
0.048261,1.680275
0.048951,1.195903
0.050061,1.321673
0.052323,0.972749
0.049469,0.867509
0.045323,0.819533
0.049233,0.595987
0.053432,0.676766
0.040740,0.743748
0.035986,1.253586
0.049278,1.209288
0.044468,0.828195
0.039973,0.997151
0.037779,0.887024
0.037224,1.305561
0.048485,1.091858
0.042604,1.024205
0.045445,1.131383
0.041730,0.843549
0.044091,0.873307
0.041452,1.311926
0.044110,1.219892
0.038943,1.335312
0.033571,1.123000
0.038303,0.833745
