loss_generator,loss_discriminator
0.058348,1.390746
0.051205,1.384673
0.054416,1.377236
0.096955,1.327254
0.069012,1.311816
0.066893,1.301996
0.074635,1.226911
0.046648,1.269360
0.088189,1.210861
0.056954,1.229042
0.053336,1.245069
0.091817,1.156805
0.093206,1.056199
0.041547,1.364490
0.088053,1.112967
0.105840,0.907165
0.051687,1.003960
0.073601,1.118557
0.076384,0.721398
0.039461,1.100332
0.092568,0.793000
0.048718,1.042831
0.064668,0.588176
0.073600,0.542989
0.068368,0.482184
0.102956,0.762445
0.069705,0.624991
0.082086,0.672173
0.087175,0.331268
0.070052,0.608215
0.101864,0.413647
0.076874,1.944481
0.125373,0.727879
0.093580,2.132153
0.068391,0.264555
0.084095,0.344806
0.060234,0.965584
0.100039,0.319553
0.089575,0.480771
0.071485,0.314917
0.121799,0.118331
0.067386,0.318453
0.086914,0.489612
0.104025,0.527255
0.074627,0.483406
0.112228,1.319684
0.108801,0.533152
0.075330,0.094450
0.072972,0.410555
0.123496,0.110889
0.047405,2.895808
0.076117,0.649590
0.075370,1.143313
0.145435,2.730850
0.062574,0.321432
0.115688,0.366677
0.059490,1.347233
0.058850,1.043646
0.061289,0.955852
0.101195,0.070191
0.077442,0.184095
0.065053,1.317498
0.130261,0.344697
0.108588,0.077568
0.123860,0.067270
0.084771,0.234575
0.040925,1.705197
0.082512,0.344284
0.129581,0.084404
0.077157,0.195046
0.047655,2.693025
0.038760,2.032114
0.101662,0.454109
0.080069,0.547405
0.070150,0.687474
0.076223,0.145605
0.058528,0.284259
0.066172,0.290102
0.088055,0.612527
0.101606,0.685340
0.051158,1.675335
0.066900,1.833710
0.089889,3.402998
0.046860,3.643677
0.062069,2.385722
0.072751,1.333005
0.106799,0.516261
0.081374,0.096001
0.128183,0.639652
0.114547,0.411802
0.075189,0.615360
0.053778,3.112096
0.075946,0.562515
0.036301,1.331452
0.122280,0.105391
0.062178,0.660999
0.078389,0.685099
0.073613,0.398439
0.084847,0.822095
0.084812,0.292213
0.079281,0.506893
0.058261,0.299511
0.060909,0.971380
0.122291,0.069425
0.117563,0.171281
0.059400,0.390156
0.082030,0.843927
0.101688,0.160801
0.072451,0.691639
0.082259,0.121387
0.054761,0.455370
0.084728,0.052683
0.038360,0.893142
0.047037,0.283428
0.086707,2.445070
0.046856,1.198514
0.068414,0.117338
0.110597,0.101844
0.053574,0.065848
0.047928,0.200364
0.082552,0.023195
0.130097,0.017380
0.094077,0.025916
0.046371,0.416373
0.102107,0.121568
0.052850,3.641913
0.062475,0.037113
0.164271,0.027733
0.095056,1.110203
0.100393,0.803119
0.074758,1.030392
0.120756,1.465980
0.079295,0.863703
0.120459,1.456555
0.072402,1.165634
0.065619,1.039445
0.078969,0.094881
0.077868,0.676579
0.040270,1.164257
0.074464,1.052601
0.113916,3.376781
0.064304,2.116036
0.045852,0.522399
0.057554,1.011200
0.091868,0.202273
0.106327,0.604483
0.089747,0.416813
0.084205,0.815280
0.070852,1.031775
0.078243,1.189037
0.085850,0.405775
0.123503,0.665431
0.069635,0.422514
0.102521,0.411291
0.118826,0.243237
0.081192,0.798092
0.080381,0.544747
0.050238,2.162966
0.057147,0.998605
0.090449,0.275633
0.085044,0.384439
0.110615,0.271587
0.089937,0.413959
0.061942,0.672300
0.085852,0.136751
0.111891,0.565280
0.036220,0.331310
0.037677,0.476550
0.044835,0.437191
0.056538,0.194078
0.066008,0.132812
0.086354,0.096113
0.073823,0.072251
0.062608,0.104160
0.077555,0.194754
0.066164,0.469573
0.062062,0.071944
0.101202,0.389497
0.057083,0.156617
0.041360,0.627019
0.050555,0.248776
0.064698,0.024494
0.070309,0.028828
0.090656,0.072230
0.077816,0.064715
0.071545,1.199764
0.080506,3.332410
0.092438,5.044386
0.129043,0.068215
0.085424,0.147268
0.111904,1.227709
0.101063,0.473904
0.072215,0.245114
0.104264,0.048945
0.089086,0.208244
0.153192,0.037014
0.066419,2.533181
0.046951,2.699550
0.084420,0.473692
0.084469,0.496401
0.057935,0.225742
0.061593,0.234264
0.036282,0.916176
0.075644,0.436150
0.081654,0.297864
0.101931,0.203714
0.057717,0.292118
0.090087,0.203501
0.133311,0.227263
0.087699,0.112229
0.039819,1.647570
0.044197,1.150380
0.092390,0.143290
0.087509,0.114143
0.033878,0.751519
0.087900,0.635178
0.100295,0.346033
0.051289,0.171312
0.099437,0.416452
0.068296,1.192206
0.078952,0.443795
0.043401,0.622148
0.085226,0.229648
0.095005,0.085406
0.083007,0.254084
0.095528,0.088626
0.079910,0.074889
0.118379,0.039921
0.065838,0.363822
0.061674,0.717457
0.085253,0.063749
0.067825,0.189972
0.054046,0.115191
0.103074,0.255510
0.155561,0.233260
0.079137,0.137830
0.046731,0.114047
0.077422,0.293194
0.053509,0.039846
0.040820,0.622396
0.064107,0.110607
0.074297,0.703034
0.085745,0.026772
0.129674,0.019203
0.085337,0.030764
0.045689,0.259355
0.095120,0.019153
0.063558,0.266367
0.057026,0.231176
0.083608,0.028000
0.079383,0.049563
0.056227,0.225376
0.085865,0.007416
0.063544,0.019978
0.065028,0.819434
0.075497,0.033214
0.064505,0.312384
0.161806,0.004922
0.081277,0.254285
0.108833,3.609473
0.047241,2.641535
0.133962,0.019266
0.134384,0.072319
0.042104,2.693902
0.045693,3.706872
0.089072,0.029917
0.076544,0.055841
0.084388,0.363106
0.033061,4.815626
0.059811,2.920293
0.089740,0.133587
0.032308,2.947200
0.049993,0.428876
0.097537,0.118693
0.096954,0.212605
0.074600,0.180254
0.073545,0.529765
0.081664,0.344325
0.042481,0.677740
0.078690,0.691630
0.064535,0.832271
0.051644,0.560491
0.054419,0.590014
0.037104,0.847276
0.073741,0.722642
0.102979,0.285926
0.079580,0.238567
0.113348,0.187625
0.077473,0.219069
0.070872,0.275589
0.073403,0.219947
0.047313,0.551356
0.129875,0.065055
0.082130,0.085261
0.111105,0.085565
0.082615,0.099149
0.054812,0.381371
0.095368,0.072900
0.079837,0.102553
0.042661,0.465739
0.082174,0.050386
0.087326,0.113284
0.080042,0.097186
0.072619,0.073765
0.070070,0.042531
0.086941,0.052622
0.069379,0.196844
0.095803,0.026158
0.103517,0.066305
0.082261,0.014861
0.070495,0.066448
0.045359,0.052197
0.159828,0.018453
0.096659,0.030495
0.063389,0.016423
0.070292,0.022976
0.088113,0.030335
0.056312,0.679986
0.074621,0.220667
0.097383,0.008103
0.084015,0.037542
0.061192,0.046495
0.146085,0.035868
0.094199,0.065629
0.136376,0.047760
0.072765,4.247896
0.103840,0.089022
0.094642,0.393323
0.093914,0.162249
0.091441,0.096449
0.095835,0.331252
0.043618,0.963089
0.068923,0.043584
0.099589,0.011665
0.139468,0.092360
0.096121,0.061773
0.104831,0.108045
0.050804,2.764143
0.056660,0.884418
0.091119,0.107813
0.049872,0.364707
0.034642,1.758893
0.073149,0.463446
0.048981,0.525990
0.083313,0.250401
0.066269,0.561872
0.060362,0.050131
0.060788,0.330374
0.081969,0.183850
0.094919,0.146845
0.048915,1.604814
0.070087,1.879488
0.071909,0.388730
0.060804,0.622664
0.061518,0.382481
0.097706,1.279762
0.091932,1.095033
0.119408,0.275444
0.072464,0.094966
0.049626,0.209412
0.050896,0.369876
0.103416,0.101033
0.070207,1.235737
0.056869,2.752581
0.057515,1.762702
0.043153,2.270499
0.080446,0.085837
0.080883,0.477942
0.128859,1.432959
0.106882,0.846149
0.082682,0.580642
0.142855,0.630372
0.045452,0.597188
0.103840,0.647704
0.068743,0.209580
0.102380,0.078396
0.100929,0.172891
0.073895,0.085316
0.052976,0.345108
0.089149,0.169125
0.061046,1.232650
0.076716,0.302410
0.085171,0.053081
0.082988,0.108409
0.069360,0.274628
0.060165,0.318667
0.057128,0.122510
0.028432,1.633573
0.040636,0.534759
0.049132,0.184099
0.071404,0.604542
0.084669,2.171865
0.107473,0.441381
0.097838,0.037109
0.080377,0.083453
0.074664,0.082354
0.075966,0.039426
0.045931,2.808825
0.049168,4.112032
0.048219,2.708747
0.043166,1.477991
0.087805,0.378783
0.113828,0.113762
0.130335,0.200008
0.055626,0.393832
0.049870,0.755594
0.042455,0.695822
0.020526,1.384586
0.037186,0.644935
0.064114,0.582683
0.138265,0.845451
0.071642,0.269516
0.110923,0.553006
0.063233,0.635505
0.110020,0.120772
0.039732,0.832510
0.072123,0.671067
0.058929,0.477139
0.101970,0.252065
0.066062,0.446861
0.090313,0.173662
0.046108,1.243120
0.056637,0.802265
0.102282,0.165438
0.041419,0.690380
0.049053,0.286029
0.076790,0.641862
0.085494,1.838654
0.033314,0.813383
0.119554,0.327406
0.068298,0.468033
0.110521,0.057944
0.054441,0.111508
0.084720,0.082496
0.101337,0.032549
0.090889,0.032268
0.084192,0.070550
0.050518,0.699575
